campus,entity,meii_burden,gap_risk,mean_burden_rank,median_burden_rank,n_wos,r_L1,r_L2,r_L3,r_L4x,r_L5r,meii_b_obs_wo,meii_b_floor_wo,meii_b_sig_wo,gap_obs_wo,gap_floor_wo,gap_sig_wo,meii_b_obs_year_block,meii_b_floor_year_block,meii_b_sig_year_block,gap_obs_year_block,gap_floor_year_block,gap_sig_year_block,topk_burden_count,profile
4,C20,0.0,0.1999999999999999,0.1333333333333333,0.1333333333333333,279,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.3333333333333333,0.0,0.03333333333333334,False,0.19999999999999998,0.4666666666666667,False,0.0,0.03333333333333334,False,0.19999999999999998,0.5333333333333333,False,0,stable_aligned
4,C30,0.038490017945975,0.3666666666666666,0.5666666666666667,0.5666666666666667,8289,0.5333333333333333,0.6,0.5333333333333333,0.6,0.2,0.03849001794597504,0.03849001794597504,False,0.36666666666666664,0.5,False,0.03849001794597504,0.06382847385042252,False,0.36666666666666664,0.5,False,0,stable_aligned
4,D10,0.1962613525850632,0.0999999999999999,0.4,0.3666666666666667,14414,0.3333333333333333,0.2,0.6666666666666666,0.4,0.4666666666666667,0.19626135258506325,0.06666666666666665,True,0.09999999999999998,0.29999999999999993,False,0.19626135258506325,0.1,True,0.09999999999999998,0.30000000000000004,False,0,unstable_aligned
4,D20,0.038490017945975,0.0999999999999999,0.9,0.9,47382,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.8666666666666667,1.0,0.03849001794597504,0.039065517048675766,False,0.09999999999999998,0.16666666666666674,False,0.03849001794597504,0.06666666666666665,False,0.09999999999999998,0.13333333333333341,False,4,stable_aligned
4,D30,0.07698003589195,0.1333333333333333,0.9333333333333332,0.9333333333333332,34982,1.0,0.8666666666666667,0.8666666666666667,1.0,0.8,0.07698003589195009,0.033333333333333326,True,0.1333333333333333,0.20000000000000007,False,0.07698003589195009,0.03849001794597504,True,0.1333333333333333,0.20000000000000007,False,4,unstable_aligned
4,D40,0.0384900179459751,0.1666666666666666,0.7666666666666666,0.7666666666666666,25279,0.8,0.7333333333333333,0.8,0.7333333333333333,0.6,0.038490017945975105,0.03333333333333338,True,0.16666666666666663,0.6333333333333333,False,0.038490017945975105,0.03333333333333338,True,0.16666666666666663,0.7,False,0,unstable_aligned
4,D50,0.0942809041582063,0.0999999999999999,0.9333333333333332,0.9666666666666668,54384,0.9333333333333332,1.0,1.0,0.8,0.8666666666666667,0.09428090415820632,0.033333333333333326,True,0.09999999999999998,0.16666666666666663,False,0.09428090415820632,0.03928717231843465,True,0.09999999999999998,0.30000000000000004,False,3,unstable_aligned
4,D90,0.1666666666666666,0.0666666666666666,0.5833333333333333,0.6666666666666666,4165,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.16666666666666666,0.033333333333333326,True,0.06666666666666665,0.20000000000000007,False,0.16666666666666666,0.08388704928078608,True,0.06666666666666665,0.33333333333333337,False,0,unstable_aligned
4,E10,0.0666666666666666,0.1999999999999999,0.5,0.4666666666666667,11968,0.4666666666666667,0.4666666666666667,0.6,0.4666666666666667,0.6666666666666666,0.06666666666666665,0.06666666666666668,False,0.19999999999999996,0.19999999999999996,False,0.06666666666666665,0.06382847385042255,True,0.19999999999999996,0.26833333333333176,False,0,stable_aligned
4,E20,0.1,0.2666666666666667,0.35,0.3333333333333333,6225,0.2666666666666666,0.4,0.4666666666666667,0.2666666666666666,0.0666666666666666,0.1,0.03849001794597504,True,0.2666666666666667,0.2666666666666667,False,0.1,0.05443310539518172,True,0.2666666666666667,0.30000000000000004,False,0,unstable_aligned
4,F10,0.0,0.2,0.0666666666666666,0.0666666666666666,62,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.2666666666666666,0.0,0.0,False,0.2,0.33333333333333337,False,0.0,0.0,False,0.2,0.4,False,0,stable_aligned
4,G20,0.3126943839882286,0.3,0.6,0.6333333333333333,2089,0.7333333333333333,0.5333333333333333,0.2,0.9333333333333332,0.9333333333333332,0.31269438398822863,0.06666666666666665,True,0.30000000000000004,0.3666666666666667,False,0.31269438398822863,0.06666666666666665,True,0.30000000000000004,0.3666666666666667,False,1,unstable_aligned
5,B20,0.1367753011080482,0.5,0.2499999999999999,0.2142857142857142,3752,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.13677530110804828,0.07142857142857142,True,0.5,0.6428571428571428,False,0.13677530110804828,0.08247860988423222,True,0.5,0.6428571428571428,False,0,unstable_divergent
5,B30,0.1797579627445416,0.2857142857142857,0.5357142857142856,0.5714285714285714,3319,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.17975796274454167,0.0,True,0.2857142857142857,0.42857142857142855,False,0.17975796274454167,0.08247860988423228,True,0.2857142857142857,0.42857142857142855,False,0,unstable_aligned
5,C10,0.1844277783908293,0.2142857142857143,0.3571428571428571,0.3571428571428571,9275,0.4285714285714285,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.5714285714285714,0.18442777839082936,0.08247860988423224,True,0.2142857142857143,0.2142857142857143,False,0.18442777839082936,0.11664236870396086,True,0.2142857142857143,0.289285714285711,False,0,unstable_aligned
5,D20,0.0,0.4285714285714285,0.8571428571428571,0.8571428571428571,53970,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4285714285714285,0.0,0.0714285714285714,False,0.42857142857142855,0.5714285714285714,False,0.0,0.0714285714285714,False,0.42857142857142855,0.5714285714285714,False,4,stable_aligned
5,D30,0.0,0.0,1.0,1.0,101357,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,4,stable_aligned
