campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
4,D30,11852801.4,12833195.604978098,63226.12,34982.0,1.0,7480376.370000001,0.14342246569327236,34982,5,735.0,1.0,0.8666666666666667,0.8666666666666667,1.0,0.13333333333333333,5,0.7733333333333333,0.3639291750388315,0.1333333333333333,14938625.400978098
4,D40,4908307.2299999995,5322081.791434537,44465.270000000004,25279.0,1.0,3112414.65,0.11257611525687097,25279,5,735.0,0.8,0.7333333333333333,0.8,0.7333333333333333,0.06666666666666667,5,0.6266666666666667,0.31481917208313587,0.06666666666666676,6802775.282434536
4,D50,10819493.279999997,11723459.435645174,98617.08,54384.0,1.0,5174665.779999999,0.1731888465040107,54384,5,735.0,0.9333333333333333,1.0,1.0,0.8666666666666667,0.26666666666666666,5,0.8133333333333335,0.3105550586360564,0.1333333333333333,15007408.199645175
4,D90,3083751.5100000002,3367610.084687786,36787.47,4165.0,1.0,2426531.45,0.4933810459557805,4165,5,735.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8,5,0.6266666666666666,0.17384539747207065,0.0,4592632.835687786
4,E10,1828958.94,1965022.9700380058,11396.689999999999,11968.0,1.0,1015251.1,0.31127917056606147,11968,5,735.0,0.4666666666666667,0.4666666666666667,0.6,0.4666666666666667,0.6,5,0.52,0.07302967433402213,0.1333333333333333,2344532.747038006
4,E20,835906.6499999999,907984.5097903928,10073.46,6225.0,1.0,539403.1,0.23339112908564516,6225,5,735.0,0.26666666666666666,0.4,0.4666666666666667,0.26666666666666666,0.4666666666666667,5,0.37333333333333335,0.10110500592068734,0.2,1243430.7277903927
4,F10,23248.339999999997,25099.20896458453,125.0,46.5,0.75,14112.91,0.520423869310786,62,5,735.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.8666666666666667,5,0.22666666666666666,0.35777087639996635,0.0,29261.70896458453
4,G20,4492945.66,4883762.749922009,21302.9,2089.0,1.0,4291259.350000001,0.47357606280972964,2089,5,735.0,0.7333333333333333,0.5333333333333333,0.2,0.8,0.7333333333333333,5,0.6,0.2449489742783178,0.19999999999999996,5593149.3199220095
5,B20,366274.8591,413390.91957964515,10046.98,3350.0,0.8928571428571429,108557.77779999998,0.8566776281570442,3752,7,342.54,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,1.0,5,0.4,0.3557114170853924,0.2857142857142857,673205.8223796452
5,B30,1347984.2230369002,1509758.743186141,47249.9,2963.3928571428573,0.8928571428571429,1085645.8060369003,0.629680939435939,3319,7,342.54,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7142857142857143,5,0.5714285714285714,0.1749635530559413,0.1428571428571429,2731641.1571861412
